City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,khandwa,21.8333,76.3333,27.57,19,0,2.05,IN,1709872235
261,selkirk,50.1436,-96.8845,-9.96,85,91,0.89,CA,1709872235
262,nong kung si,16.65,103.3,32.54,38,7,4.8,TH,1709872235
263,san julian,21.0167,-102.1667,14.94,24,90,3.43,MX,1709872235
264,punta arenas,-53.15,-70.9167,12.01,81,75,6.69,CL,1709872236
265,kingston,17.997,-76.7936,25.53,82,20,2.57,JM,1709871960
266,alofi,-19.0595,-169.9187,28.94,79,40,5.66,NU,1709872236
267,hamilton,39.1834,-84.5333,10.25,85,100,3.09,US,1709871899
268,la passe,45.5549,-0.8967,9.13,85,100,3.31,FR,1709872236
269,ghat,24.9647,10.1728,15.93,27,0,2.3,LY,1709872237
270,altendorf,47.1914,8.8294,2.17,88,6,1.67,CH,1709872237
271,thisted,56.9552,8.6949,-1.56,69,12,2.79,DK,1709871958
272,lochbuie,40.0072,-104.7161,1.06,90,100,4.12,US,1709872238
273,hinton,53.4001,-117.5857,-7.46,91,77,2.94,CA,1709872238
274,okhotsk,59.3833,143.3,-10.49,76,68,2.67,RU,1709872238
275,codajas,-3.8367,-62.0569,24.73,94,74,0.9,BR,1709872238
276,horta,38.5333,-28.6333,15.57,90,93,7.6,PT,1709872238
277,uturoa,-16.7333,-151.4333,28.06,77,98,6.04,PF,1709872238
278,hoemul-li,41.4339,129.67,1.67,29,79,7.41,KP,1709872239
279,mount isa,-20.7333,139.5,33.87,40,100,6.69,AU,1709872236
280,puerto gaitan,4.3133,-72.0816,29.48,54,41,2.06,CO,1709872239
281,mayahi,13.9553,7.6712,29.74,10,96,3.66,NE,1709872239
282,ancud,-41.8697,-73.8203,12.32,88,100,8.07,CL,1709872239
283,pancas,-19.225,-40.8514,23.03,97,26,0.31,BR,1709872239
284,cherdyn',60.403,56.4787,-4.77,94,100,2.42,RU,1709872240
285,phan rang-thap cham,11.5667,108.9833,31.84,44,86,7.51,VN,1709872240
286,port douglas,-16.4833,145.4667,27.81,84,100,6.72,AU,1709872240
287,guerrero negro,27.9769,-114.0611,15.52,74,11,7.6,MX,1709872240
288,sao jose da coroa grande,-8.8978,-35.1478,27.78,71,36,4.55,BR,1709872240
289,tamanrasset,22.785,5.5228,9.95,10,0,2.06,DZ,1709872241
290,chibougamau,49.9168,-74.3659,-12.21,79,75,2.06,CA,1709872241
291,quatre cocos,-20.2078,57.7625,26.16,79,47,7.34,MU,1709872241
292,palmer,42.1584,-72.3287,5.65,78,75,6.69,US,1709872241
293,salinopolis,-0.6136,-47.3561,26.39,89,100,3.94,BR,1709872241
294,acajutla,13.5928,-89.8275,25.53,86,2,3.25,SV,1709871972
295,guangyuan,32.442,105.823,12.32,68,96,2.71,CN,1709872241
296,nizhniy ingash,56.2,96.53,-1.8,76,98,3.57,RU,1709872242
297,vorgashor,67.5833,63.95,-21.47,95,56,3.48,RU,1709872242
298,salekhard,66.53,66.6019,-15.71,91,99,8.83,RU,1709872242
299,cannonvale,-20.2833,148.7,25.66,76,94,8.92,AU,1709872242
300,nizhneudinsk,54.9076,99.0276,1.02,71,78,0.56,RU,1709872242
301,andergrove,-21.0833,149.1833,28.14,80,98,9.78,AU,1709872243
302,sola,-13.8833,167.55,26.99,79,100,6.61,VU,1709872243
303,casper,42.8666,-106.3131,-2.67,87,100,5.14,US,1709872243
304,ploneour-lanvern,47.9,-4.2833,8.18,81,100,6.17,FR,1709872243
305,taza,34.25,-3.75,9.46,71,66,6.16,MA,1709872243
306,shirpur,21.35,74.8833,28.94,19,0,1.51,IN,1709872243
307,carbonear,47.7332,-53.2148,-2.16,94,100,10.66,CA,1709872243
308,xining,36.6167,101.7667,3.9,33,80,1.67,CN,1709872244
309,mugia,43.1041,-9.2179,8.28,84,99,10.55,ES,1709872244
310,abancay,-13.6339,-72.8814,15.26,96,87,1.24,PE,1709872244
311,cobija,-11.0267,-68.7692,28.1,78,75,4.12,BO,1709872244
312,ponta delgada,37.7333,-25.6667,15.4,82,75,12.86,PT,1709872244
313,pinamalayan,13.0,121.4167,29.48,52,99,2.64,PH,1709872244
314,shivpuri,25.4333,77.65,24.2,20,0,2.83,IN,1709872245
315,howard springs,-12.497,131.047,34.99,72,100,2.52,AU,1709872245
316,east london,-33.0153,27.9116,20.52,52,0,3.6,ZA,1709872245
317,tangalle,6.024,80.7911,31.09,59,86,3.27,LK,1709872245
318,menominee,45.1078,-87.6143,1.27,100,75,0.0,US,1709872245
319,kralendijk,12.15,-68.2667,26.99,83,3,8.75,BQ,1709872245
320,fort st. john,56.2499,-120.8529,-1.06,64,75,6.17,CA,1709872246
321,idri,27.5,13.2667,12.08,46,1,4.38,LY,1709872246
322,cambria,35.5641,-121.0808,12.64,89,5,1.79,US,1709872246
323,cajamarca,-7.1638,-78.5003,13.19,93,99,1.56,PE,1709872246
324,aktau,43.65,51.2,3.32,82,100,7.1,KZ,1709872246
325,malango,-2.9627,119.9001,26.77,77,96,0.71,ID,1709872247
326,al badari,26.9926,31.4155,11.08,48,5,2.07,EG,1709872247
327,trincomalee,8.5711,81.2335,27.41,70,99,2.83,LK,1709872247
